5.754399e-04 4.349523e-02 5.055758e-01
1.905461e-03 4.414256e-02 4.511398e-01
6.309573e-03 4.603938e-02 3.957089e-01
2.089296e-02 5.103272e-02 3.406904e-01
6.918310e-02 6.148642e-02 2.930667e-01
2.290868e-01 8.184331e-02 2.518368e-01
7.585776e-01 1.179516e-01 2.159767e-01
2.511886e+00 1.894107e-01 1.775041e-01
8.317638e+00 2.771407e-01 1.511718e-01
2.754229e+01 4.466063e-01 1.230203e-01
9.120108e+01 7.244743e-01 9.394939e-02
3.019952e+02 1.117181e+00 6.726468e-02
1.000000e+03 1.621592e+00 4.479236e-02
