2.078796e-02 5.562889e-11
2.338604e-02 9.854946e-11
2.630884e-02 1.745855e-10
2.959692e-02 3.092872e-10
3.329595e-02 5.479183e-10
3.745729e-02 9.706657e-10
4.213872e-02 1.719585e-09
4.740522e-02 3.046333e-09
5.332994e-02 5.396737e-09
5.999514e-02 9.560599e-09
6.749334e-02 1.693710e-08
7.592868e-02 3.000494e-08
8.541827e-02 5.315531e-08
9.609387e-02 9.416739e-08
1.081037e-01 1.668224e-07
1.216145e-01 2.955345e-07
1.368140e-01 5.235547e-07
1.539130e-01 9.275043e-07
1.731491e-01 1.643122e-06
1.947893e-01 2.910875e-06
2.191342e-01 5.156763e-06
2.465216e-01 9.135465e-06
2.773319e-01 1.618392e-05
3.119930e-01 2.867055e-05
3.509859e-01 5.079102e-05
3.948523e-01 8.997770e-05
4.442010e-01 1.593960e-04
4.997174e-01 2.823640e-04
5.621722e-01 5.001745e-04
6.324327e-01 8.859253e-04
7.114743e-01 1.568935e-03
8.003945e-01 2.777724e-03
9.004281e-01 4.915296e-03
1.012964e+00 8.689823e-03
1.139564e+00 1.533795e-02
1.281987e+00 2.699579e-02
1.442211e+00 4.728451e-02
1.622458e+00 8.214695e-02
1.825234e+00 1.407991e-01
2.053352e+00 2.361341e-01
2.309981e+00 3.827775e-01
2.598683e+00 5.895335e-01
2.923467e+00 8.437342e-01
3.288842e+00 1.093754e+00
3.699883e+00 1.252783e+00
4.162295e+00 1.245733e+00
4.682500e+00 1.070934e+00
5.267720e+00 8.055968e-01
5.926082e+00 5.441869e-01
6.666725e+00 3.415870e-01
7.499934e+00 2.066844e-01
8.437278e+00 1.248691e-01
9.491772e+00 7.775684e-02
1.067806e+01 5.130929e-02
1.201260e+01 3.673863e-02
1.351394e+01 2.911838e-02
1.520292e+01 2.596539e-02
1.710298e+01 2.637981e-02
1.924052e+01 3.079736e-02
2.164520e+01 4.146947e-02
2.435043e+01 6.422517e-02
2.739375e+01 1.129876e-01
3.081743e+01 2.194792e-01
3.466900e+01 4.449907e-01
3.900194e+01 8.473506e-01
4.387642e+01 1.265301e+00
4.936010e+01 1.168361e+00
5.552914e+01 5.789119e-01
6.246919e+01 1.717072e-01
7.027661e+01 3.808534e-02
7.905980e+01 7.428363e-03
8.894072e+01 1.380147e-03
1.000566e+02 2.522329e-04
1.125617e+02 4.586092e-05
1.266296e+02 8.325889e-06
1.424558e+02 1.510908e-06
1.602600e+02 2.741561e-07
1.802894e+02 4.974458e-08
2.028220e+02 9.025905e-09
2.281707e+02 1.637703e-09
2.566876e+02 2.971524e-10
2.887685e+02 5.391670e-11
3.248588e+02 9.782895e-12
3.654598e+02 1.775054e-12
4.111350e+02 3.220739e-13
4.625188e+02 5.843858e-14
5.203245e+02 1.060337e-14
5.853549e+02 1.923924e-15
6.585127e+02 3.490856e-16
7.408138e+02 6.333970e-17
8.334009e+02 1.149265e-17
9.375596e+02 2.085279e-18
1.054736e+03 3.783626e-19
1.186557e+03 6.865186e-20
1.334854e+03 1.245651e-20
1.501684e+03 2.260167e-21
1.689365e+03 4.100951e-22
1.900502e+03 7.440955e-23
2.138027e+03 1.350121e-23
2.405239e+03 2.449722e-24
